Runner Jul  1 2013 11:24:59
Bernhard Manfred Gruber
Duration: 1min 4s 772ms


Matrix multiplication (Tiles, AMD);GPU CL
size;init time;upload time mean ;upload time deviation;run time mean;run time deviation;download time mean;download time deviation;cleanup time;wg size;up run down sum;result
500;0.000868;0.041126;0.001059;0.001307;0.000006;0.000292;0.000051;0.000024;32;0.042725;SUCCESS
600;0.001015;0.043893;0.001170;0.002018;0.000101;0.000366;0.000062;0.000024;32;0.046277;SUCCESS
700;0.000996;0.045227;0.000383;0.002532;0.000020;0.000481;0.000104;0.000024;32;0.048239;SUCCESS
800;0.000850;0.048646;0.001154;0.004462;0.000023;0.000715;0.000195;0.000033;32;0.053823;SUCCESS
900;0.001080;0.055860;0.006313;0.006381;0.000141;0.000826;0.000086;0.000024;32;0.063067;SUCCESS
1000;0.001103;0.057971;0.001209;0.008048;0.000020;0.000904;0.000139;0.000024;32;0.066923;SUCCESS
1100;0.001082;0.075224;0.023812;0.010880;0.000192;0.001222;0.000191;0.000031;32;0.087327;SUCCESS
1200;0.001093;0.120260;0.010797;0.012353;0.000141;0.001290;0.000212;0.000024;32;0.133902;SUCCESS
1300;0.001123;0.137621;0.024465;0.016544;0.000511;0.001645;0.000504;0.000023;32;0.155810;SUCCESS
1400;0.001121;0.136187;0.023679;0.023724;0.005791;0.001855;0.000325;0.000027;32;0.161766;SUCCESS
1500;0.001108;0.153560;0.034103;0.025274;0.000038;0.002084;0.000506;0.000026;32;0.180919;SUCCESS
1600;0.001133;0.133699;0.014481;0.027096;0.000014;0.002337;0.000554;0.000023;32;0.163133;SUCCESS
1700;0.001151;0.142139;0.001438;0.050744;0.022116;0.002759;0.000504;0.000027;32;0.195642;SUCCESS
1800;0.001149;0.142362;0.001701;0.059287;0.022448;0.002923;0.000691;0.000027;32;0.204572;SUCCESS
1900;0.001140;0.146814;0.002872;0.077310;0.021235;0.003203;0.000683;0.000025;32;0.227326;SUCCESS
2000;0.001136;0.144298;0.021713;0.105197;0.001759;0.003535;0.000801;0.000026;32;0.253030;SUCCESS
2100;0.001182;0.126835;0.022239;0.110198;0.001031;0.004050;0.000860;0.000041;32;0.241082;SUCCESS
2200;0.001167;0.134980;0.026228;0.129710;0.006011;0.004364;0.001001;0.000026;32;0.269054;SUCCESS
2300;0.001215;0.245887;0.133194;0.084829;0.005887;0.004814;0.001240;0.000027;32;0.335530;SUCCESS
2400;0.001314;0.222247;0.004220;0.094427;0.000072;0.005472;0.001253;0.000105;32;0.322147;SUCCESS
2500;0.000816;0.223701;0.007619;0.146120;0.032586;0.006321;0.001934;0.000109;32;0.376142;SUCCESS
2600;0.081831;0.198016;0.036362;0.165266;0.001547;0.007819;0.003481;0.000121;32;0.371101;SUCCESS
2700;0.001166;0.186464;0.042054;0.184255;0.002038;0.008657;0.003847;0.000117;32;0.379376;SUCCESS
2800;0.001044;0.176928;0.028222;0.197514;0.008222;0.008954;0.004308;0.000142;32;0.383397;SUCCESS
2900;0.004062;0.183873;0.040135;0.210054;0.022057;0.009887;0.004692;0.000037;32;0.403814;SUCCESS
3000;0.003300;0.171310;0.015150;0.216474;0.028979;0.008480;0.001918;0.000059;32;0.396264;SUCCESS
3100;0.001142;0.186295;0.015433;0.243495;0.021758;0.011055;0.005305;0.000073;32;0.440845;SUCCESS
